Time,"E","Points:0","Points:1","Points:2"
9.9886,3.2415e-05,0,0.08,0.029972
9.9886,3.2339e-05,0,0.08003,0.029972
9.9886,2.4427e-05,0,0.083539,0.029977
9.9886,2.0213e-05,0,0.086452,0.029979
9.9886,2.0148e-05,0,0.086499,0.029979
9.9886,1.8491e-05,0,0.088925,0.029982
9.9886,1.8458e-05,0,0.088975,0.029983
9.9886,1.795e-05,0,0.091013,0.029978
9.9886,1.794e-05,0,0.091044,0.029978
9.9886,1.7955e-05,0,0.092748,0.029979
9.9886,1.795e-05,0,0.092775,0.029979
9.9886,1.8091e-05,0,0.094207,0.029974
9.9886,1.8089e-05,0,0.094223,0.029974
9.9886,1.8164e-05,0,0.095424,0.029971
9.9886,1.8164e-05,0,0.095433,0.029971
9.9886,1.8681e-05,0,0.096429,0.029979
9.9886,1.8696e-05,0,0.096446,0.029979
9.9886,1.7163e-05,0,0.09728,0.029977
9.9886,1.7151e-05,0,0.097292,0.029977
9.9886,1.6289e-05,0,0.097988,0.02998
9.9886,1.6298e-05,0,0.098,0.02998
9.9886,3.1202e-05,0,-0.08,0.029969
9.9886,3.1245e-05,0,-0.079979,0.029969
9.9886,3.9808e-05,0,-0.076,0.029967
9.9886,4.5064e-05,0,-0.07201,0.029966
9.9886,4.5076e-05,0,-0.072,0.029966
9.9886,4.5906e-05,0,-0.06801,0.029966
9.9886,4.5907e-05,0,-0.068,0.029966
9.9886,4.3357e-05,0,-0.064003,0.029964
9.9886,4.3355e-05,0,-0.064,0.029964
9.9886,4.2212e-05,0,-0.063009,0.029964
9.9886,3.9453e-05,0,0.060737,0.029964
9.9886,4.3549e-05,0,0.06399,0.029966
9.9886,4.3564e-05,0,0.064,0.029966
9.9886,4.6578e-05,0,0.067983,0.029968
9.9886,4.6593e-05,0,0.068,0.029968
9.9886,4.6e-05,0,0.07198,0.029968
9.9886,4.6e-05,0,0.072,0.029968
9.9886,4.0999e-05,0,0.075976,0.029969
9.9886,4.0973e-05,0,0.076,0.029969
9.9886,3.2483e-05,0,0.079966,0.029972
9.9886,3.8835e-05,0,-0.06,0.029961
9.9886,3.8821e-05,0,-0.05999,0.029961
9.9886,3.3319e-05,0,-0.056,0.029958
9.9886,3.3285e-05,0,-0.055978,0.029958
9.9886,2.7606e-05,0,-0.052,0.029955
9.9886,2.7555e-05,0,-0.051965,0.029954
9.9886,2.2279e-05,0,-0.048,0.029952
9.9886,2.2219e-05,0,-0.047953,0.029951
9.9886,1.7681e-05,0,-0.044,0.029949
9.9886,1.7619e-05,0,-0.043944,0.029949
9.9886,1.3829e-05,0,-0.04,0.029947
9.9886,1.377e-05,0,-0.039936,0.029947
9.9886,1.0664e-05,0,-0.036,0.029945
9.9886,1.061e-05,0,-0.035929,0.029945
9.9886,8.0681e-06,0,-0.032,0.029943
9.9886,8.0198e-06,0,-0.031922,0.029943
9.9886,5.9591e-06,0,-0.028,0.029942
9.9886,5.9165e-06,0,-0.027916,0.029942
9.9886,4.2546e-06,0,-0.024,0.02994
9.9886,4.2176e-06,0,-0.023909,0.02994
9.9886,2.8977e-06,0,-0.02,0.029938
9.9886,2.8662e-06,0,-0.019903,0.029938
9.9886,1.8386e-06,0,-0.016,0.029937
9.9886,1.8128e-06,0,-0.015897,0.029937
9.9886,1.0419e-06,0,-0.012,0.029936
9.9886,1.022e-06,0,-0.011892,0.029936
9.9886,4.8091e-07,0,-0.008,0.029935
9.9886,4.6711e-07,0,-0.007888,0.029935
9.9886,1.3801e-07,0,-0.004,0.029934
9.9886,1.306e-07,0,-0.0038859,0.029934
9.9886,3.9146e-09,0,0,0.029934
9.9886,3.0425e-09,0,0.00011435,0.029934
9.9886,7.617e-08,0,0.004,0.029934
9.9886,8.1823e-08,0,0.0041125,0.029934
9.9886,3.5858e-07,0,0.008,0.029935
9.9886,3.706e-07,0,0.0081089,0.029935
9.9886,8.6144e-07,0,0.012,0.029937
9.9886,8.7953e-07,0,0.012104,0.029937
9.9886,1.602e-06,0,0.016,0.029938
9.9886,1.6258e-06,0,0.016097,0.029938
9.9886,2.6078e-06,0,0.02,0.02994
9.9886,2.6369e-06,0,0.02009,0.02994
9.9886,3.9157e-06,0,0.024,0.029942
9.9886,3.9499e-06,0,0.024083,0.029942
9.9886,5.5788e-06,0,0.028,0.029944
9.9886,5.6178e-06,0,0.028075,0.029944
9.9886,7.6579e-06,0,0.032,0.029946
9.9886,7.7013e-06,0,0.032067,0.029946
9.9886,1.0237e-05,0,0.036,0.029948
9.9886,1.0285e-05,0,0.03606,0.029948
9.9886,1.3399e-05,0,0.04,0.02995
9.9886,1.3449e-05,0,0.040052,0.02995
9.9886,1.7253e-05,0,0.044,0.029952
9.9886,1.7302e-05,0,0.044044,0.029952
9.9886,2.185e-05,0,0.048,0.029955
9.9886,2.1895e-05,0,0.048035,0.029955
9.9886,2.7169e-05,0,0.052,0.029957
9.9886,2.7204e-05,0,0.052025,0.029957
9.9886,3.2856e-05,0,0.056,0.02996
9.9886,3.2876e-05,0,0.056015,0.02996
9.9886,3.8552e-05,0,0.06,0.029963
9.9886,3.8554e-05,0,0.060002,0.029963
9.9886,2.3293e-05,0,-0.098,0.030039
9.9886,2.0053e-05,0,-0.097323,0.030005
9.9886,2.002e-05,0,-0.097292,0.030003
9.9886,1.8946e-05,0,-0.09647,0.029991
9.9886,1.8991e-05,0,-0.096446,0.029991
9.9886,1.8554e-05,0,-0.095464,0.029992
9.9886,1.8557e-05,0,-0.095433,0.029992
9.9886,1.8002e-05,0,-0.094251,0.029986
9.9886,1.7998e-05,0,-0.094223,0.029986
9.9886,1.7494e-05,0,-0.092812,0.029988
9.9886,1.7489e-05,0,-0.092775,0.029988
9.9886,1.7318e-05,0,-0.091078,0.029982
9.9886,1.7318e-05,0,-0.091044,0.029982
9.9886,1.7708e-05,0,-0.089016,0.029983
9.9886,1.7718e-05,0,-0.088975,0.029983
9.9886,1.9271e-05,0,-0.086535,0.029977
9.9886,1.9293e-05,0,-0.086499,0.029977
9.9886,2.3378e-05,0,-0.083573,0.029974
9.9886,2.3425e-05,0,-0.083539,0.029974
9.9886,3.1156e-05,0,-0.080019,0.029969
